especie,photo_id,observation_id,archivo,ancho,alto,x1,y1,x2,y2,confianza,cuadradoX,cuadradoY,ladoOriginal,nitidez,brillo,fracSaturados,fracNegros,phash,dhash,grupo,veredicto,motivo,split
actinote_anteas,100064439,62452882,actinote_anteas_100064439.jpg,768,1024,239.57467651367188,499.52032470703125,459.8770446777344,658.2736206054688,0.8217295408248901,207,436,286,1778.8505398121508,138.0,0.006015353732638889,0.0,fd9fd84ac460b889,323a5a2427158a96,,aceptada,aceptada,validate
actinote_anteas,10093601,7700382,actinote_anteas_10093601.jpg,1024,576,412.333984375,163.3598175048828,762.5093994140625,490.6717224121094,0.2366335391998291,360,99,455,147.14800527576867,111.0,0.006334092881944444,0.0,a3518bb1d4c7c8da,c8ddbd1e9e9f5bbf,,aceptada,aceptada,validate
actinote_anteas,10093797,7700382,actinote_anteas_10093797.jpg,1024,576,8.4228515625,9.235058784484863,1020.4577026367188,565.0706787109375,0.09767147898674011,226,0,576,749.3365641869145,108.0,0.04595947265625,0.0,a99988e4f464f1da,9afa5ade3ec6e7d9,,aceptada,aceptada,train
actinote_anteas,10093807,7700382,actinote_anteas_10093807.jpg,1024,576,383.44287109375,190.0417938232422,1022.490234375,429.54736328125,0.7251605987548828,415,0,576,806.3925429183392,141.0,0.015543619791666666,0.0,a0918beb29fd7914,cbc9b49c9d0fdfa3,,aceptada,aceptada,train
actinote_anteas,10093811,7700382,actinote_anteas_10093811.jpg,1024,576,0.3514160215854645,11.013036727905273,725.8699951171875,573.3734741210938,0.12961576879024506,75,0,576,152.44496662082307,91.0,2.0345052083333332e-05,0.0,e9ec2637aa56502b,069692d5d3968e93,,aceptada,aceptada,train
actinote_anteas,10168901,7548425,actinote_anteas_10168901.jpg,1024,650,28.289745330810547,24.772974014282227,1014.8480224609375,604.5850830078125,0.7113829851150513,197,0,650,1189.4638409150514,169.0,0.00014919704861111112,8.138020833333333e-05,d6d18e71b54c8e23,c8d86130cce8e869,,aceptada,aceptada,train
actinote_anteas,10168902,7548425,actinote_anteas_10168902.jpg,1024,679,37.354103088378906,36.107177734375,502.1498107910156,594.2373657226562,0.5370907187461853,0,0,679,1073.2931192546255,180.0,0.07486979166666667,0.0007731119791666666,ff8f814ac8f4b061,717a1e243b1c1c0a,,descartada,sobreexpuesta,
actinote_anteas,101921609,63502020,actinote_anteas_101921609.jpg,768,1024,182.77737426757812,222.2519073486328,582.1583862304688,647.4033813476562,0.9168712496757507,106,158,553,1612.204491959494,134.0,0.0007527669270833334,0.0003323025173611111,bdc296cd31876334,71f9f79a9222361e,,aceptada,aceptada,train
actinote_anteas,102192671,63651828,actinote_anteas_102192671.jpg,768,1024,211.7878875732422,63.2109375,720.9365234375,774.0771484375,0.4561017155647278,0,35,768,372.47113016463913,130.0,0.00439453125,0.0,a88db83cb9f113d2,3f37db9b290d9f8b,,aceptada,aceptada,train
actinote_anteas,105516224,65545803,actinote_anteas_105516224.jpg,227,140,7.108211517333984,8.710058212280273,221.90432739257812,133.87513732910156,0.8537933826446533,45,0,140,69.29663689926636,187.0,0.001491970486111111,0.00029161241319444444,8ee19e60ac19df52,fdec68b34fe9e869,,descartada,recorte_pequeno,
actinote_anteas,105516227,65545803,actinote_anteas_105516227.jpg,227,136,5.693790912628174,6.58851432800293,217.042236328125,131.70077514648438,0.9349091649055481,43,0,136,19.205817096717198,190.0,0.019022623697916668,0.0003323025173611111,9aa5cf21e218de56,ffdcf8b90d597868,,descartada,recorte_pequeno,
actinote_anteas,105516275,65545832,actinote_anteas_105516275.jpg,227,154,0.506074845790863,6.620689392089844,224.04898071289062,147.991943359375,0.861541211605072,35,0,154,42.681545663027116,190.0,0.009813096788194444,0.0010240342881944445,8ea1ca64f158da5e,fffcf9b28ee8e879,,descartada,recorte_pequeno,
actinote_anteas,105516279,65545832,actinote_anteas_105516279.jpg,227,141,16.79762840270996,4.390448570251465,226.62794494628906,136.1536102294922,0.8276880979537964,51,0,141,83.53615893184403,188.0,0.001797146267361111,0.0008884006076388889,9bc48e35b54d8b0b,fcfce1b21f7170f9,,descartada,recorte_pequeno,
